Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
69892,1052.973,389.85577069142300,228.67146576459500,1.7048728374914900,0.8099101140990340,71139,298.31067406418800,0.6842697839261410,0.982470937179325,0.7921416737789600,0.765182142963084,0.0055779741700255,0.001179547859919,0.5855037119095770,0.9982093746850780, WHEAT
34584,704.813,272.44836338099400,161.97222272290000,1.6820684361854700,0.8040910762108110,34940,209.842122594871,0.6781708369283870,0.9898111047510020,0.8748574103666820,0.7702087837519000,0.0078778731026195,0.0017101043523641,0.5932215705685810,0.997839279517784,RICE
72102,1072.061,377.6167302861600,243.50387603851200,1.5507627082964300,0.7643142278153250,73400,302.9902930037440,0.7084520604476590,0.982316076294278,0.7883483826334220,0.802375182831905,0.005237257361601,0.0013390402426928,0.643805934024533,0.9983902338651950, WHEAT
207673,1755.004,659.2733366103530,405.1692711656380,1.627155323782770,0.7888626972873010,210788,514.2153984215030,0.733686858337985,0.9852221189062000,0.8472931189152250,0.7799729943051180,0.0031745741459426,0.0007247421193951,0.6083578718452920,0.9898927499382250,CORN
200116,1773.3790000000000,636.1081262359640,402.3250586196980,1.581080056057980,0.7745774724166720,202634,504.7728248769160,0.7734190815561450,0.9875736549641220,0.7996290342341660,0.7935330552429880,0.0031786969869273,0.0007774795638528,0.6296947097632700,0.9955977470119260,CORN
30065,642.016,239.46516276435000,160.29284656544600,1.4939229534898700,0.7429214892924160,30415,195.65261795453400,0.7506304147005220,0.9884925201380900,0.9165989792330960,0.8170400057192010,0.0079649147767952,0.0021894457250325,0.6675543709456320,0.9972747974581680,RICE
34823,682.046,251.2608480237780,176.67988448860400,1.4221248148936000,0.711018640443924,35149,210.56595324580000,0.7448770053475940,0.9907251984409230,0.9406947372372230,0.8380372624782100,0.0072153705316537,0.002195289090616,0.702306453301973,0.998767434900648,RICE
27459,611.196,231.5531590630680,151.1926802962600,1.5315103787388600,0.7574008471254840,27760,186.9809740558720,0.7018633540372670,0.989157060518732,0.9237055955598820,0.8075077654412150,0.0084326872450951,0.0022117324295082,0.6520687912478650,0.9986501214478050,RICE
41928,774.5920000000000,295.1548320875480,181.78381504927900,1.6236584759074200,0.7878297588144420,42445,231.0506170337050,0.7960357692088630,0.9878195311579690,0.8781485653968550,0.7828115684217280,0.0070395638257858,0.0016306263420009,0.612793951654886,0.9949680935892550,BARLEY
231066,1787.859,641.9042752331750,460.1984968278400,1.3948421814887200,0.6971482610583390,232903,542.4042483644230,0.736700143472023,0.992112596231049,0.9084047160381370,0.844992422222756,0.0027780126683855,0.0008736253786501,0.7140121936138800,0.9959343257499330,CORN
